Customer_ID,Gender,Income_Level,Credit_Score,Total_Loan_Amount,Outstanding_Balance,Missed_Payments,Delinquency_Status,Region,Employment_Type
C-1001,Male,High,780,50000,12000,0,0,North,Salaried
C-1002,Female,Medium,650,25000,18000,2,1,South,Self-Employed
C-1003,Male,Low,580,15000,14500,5,1,East,Unemployed
C-1004,Female,High,810,75000,5000,0,0,West,Salaried
C-1005,Male,Medium,710,40000,22000,1,0,North,Salaried
C-1006,Female,Low,520,10000,9500,6,1,South,Self-Employed
C-1007,Male,Medium,680,30000,15000,0,0,East,Salaried
C-1008,Female,High,795,60000,8000,0,0,West,Self-Employed
C-1009,Male,Low,450,5000,4800,8,1,North,Unemployed
C-1010,Female,Medium,640,20000,19500,3,1,South,Salaried
C-1011,Male,High,760,55000,10000,0,0,East,Salaried
C-1012,Female,Low,610,12000,11000,4,1,West,Self-Employed
C-1013,Male,Medium,690,35000,14000,1,0,North,Salaried
C-1014,Female,High,820,80000,2000,0,0,South,Salaried
C-1015,Male,Low,550,8000,7200,5,1,East,Self-Employed
C-1016,Female,Medium,670,28000,12000,0,0,West,Salaried
C-1017,Male,High,775,52000,15000,0,0,North,Self-Employed
C-1018,Female,Low,490,7000,6800,7,1,South,Unemployed
C-1019,Male,Medium,630,22000,21000,2,1,East,Salaried
C-1020,Female,High,805,70000,4500,0,0,West,Salaried
C-1021,Male,Medium,720,45000,5000,0,0,North,Salaried
C-1022,Female,Low,540,15000,13500,4,1,South,Self-Employed
C-1023,Male,High,830,90000,0,0,0,East,Salaried
C-1024,Female,Medium,660,32000,15000,1,0,West,Salaried
C-1025,Male,Low,480,10000,9800,9,1,North,Unemployed
C-1026,Female,High,790,65000,12000,0,0,South,Self-Employed
C-1027,Male,Medium,705,38000,8000,0,0,East,Salaried
C-1028,Female,Low,600,18000,16000,3,1,West,Self-Employed
C-1029,Male,High,750,58000,25000,1,0,North,Salaried
C-1030,Female,Medium,620,24000,22000,5,1,South,Unemployed
C-1031,Male,Low,510,12000,11500,6,1,East,Self-Employed
C-1032,Female,High,840,95000,1000,0,0,West,Salaried
C-1033,Male,Medium,685,29000,5000,0,0,North,Salaried
C-1034,Female,Low,570,20000,18500,4,1,South,Self-Employed
C-1035,Male,High,765,48000,12000,0,0,East,Salaried
C-1036,Female,Medium,645,33000,14000,1,0,West,Salaried
C-1037,Male,Low,430,6000,5900,10,1,North,Unemployed
C-1038,Female,High,815,72000,3000,0,0,South,Self-Employed
C-1039,Male,Medium,695,42000,20000,2,1,East,Salaried
C-1040,Female,Low,595,14000,13000,3,1,West,Self-Employed
C-1041,Male,High,740,51000,0,0,0,North,Salaried
C-1042,Female,Medium,635,26000,24000,4,1,South,Unemployed
C-1043,Male,Low,530,11000,10500,5,1,East,Self-Employed
C-1044,Female,High,800,68000,9000,0,0,West,Salaried
C-1045,Male,Medium,715,36000,7000,0,0,North,Salaried
C-1046,Female,Low,560,22000,20000,6,1,South,Self-Employed
C-1047,Male,High,770,54000,15000,1,0,East,Salaried
C-1048,Female,Medium,655,31000,12000,0,0,West,Salaried
C-1049,Male,Low,460,9000,8800,8,1,North,Unemployed
C-1050,Female,High,785,62000,5000,0,0,South,Self-Employed
C-1051,Male,Medium,700,39000,11000,0,0,East,Salaried
C-1052,Female,Low,605,17000,15000,2,1,West,Self-Employed
C-1053,Male,High,745,59000,22000,1,0,North,Salaried
C-1054,Female,Medium,615,23000,21500,4,1,South,Unemployed
C-1055,Male,Low,505,13000,12500,7,1,East,Self-Employed
C-1056,Female,High,835,92000,0,0,0,West,Salaried
C-1057,Male,Medium,675,27000,6000,0,0,North,Salaried
C-1058,Female,Low,575,21000,19500,5,1,South,Self-Employed
C-1059,Male,High,755,47000,10000,0,0,East,Salaried
C-1060,Female,Medium,640,34000,16000,1,0,West,Salaried
C-1061,Male,Low,440,5500,5300,9,1,North,Unemployed
C-1062,Female,High,825,74000,4000,0,0,South,Self-Employed
C-1063,Male,Medium,690,43000,21000,3,1,East,Salaried
C-1064,Female,Low,590,15000,14000,2,1,West,Self-Employed
C-1065,Male,High,730,53000,2000,0,0,North,Salaried
C-1066,Female,Medium,630,27000,25000,6,1,South,Unemployed
C-1067,Male,Low,525,11500,11000,4,1,East,Self-Employed
C-1068,Female,High,805,71000,8000,0,0,West,Salaried
C-1069,Male,Medium,710,37000,9000,0,0,North,Salaried
C-1070,Female,Low,555,23000,21000,5,1,South,Self-Employed
C-1071,Male,High,775,56000,14000,1,0,East,Salaried
C-1072,Female,Medium,660,30000,11000,0,0,West,Salaried
C-1073,Male,Low,470,8500,8300,7,1,North,Unemployed
C-1074,Female,High,790,64000,6000,0,0,South,Self-Employed
C-1075,Male,Medium,705,40000,13000,0,0,East,Salaried
C-1076,Female,Low,610,16000,14500,3,1,West,Self-Employed
C-1077,Male,High,735,60000,23000,2,1,North,Salaried
C-1078,Female,Medium,610,22000,21000,4,1,South,Unemployed
C-1079,Male,Low,515,12500,12000,6,1,East,Self-Employed
C-1080,Female,High,845,98000,500,0,0,West,Salaried
C-1081,Male,Medium,680,26000,7000,0,0,North,Salaried
C-1082,Female,Low,580,20000,18000,4,1,South,Self-Employed
C-1083,Male,High,760,46000,9000,0,0,East,Salaried
C-1084,Female,Medium,635,35000,17000,1,0,West,Salaried
C-1085,Male,Low,450,5200,5000,8,1,North,Unemployed
C-1086,Female,High,810,76000,5000,0,0,South,Self-Employed
C-1087,Male,Medium,685,44000,22000,3,1,East,Salaried
C-1088,Female,Low,585,14500,13500,2,1,West,Self-Employed
C-1089,Male,High,725,54000,3000,0,0,North,Salaried
C-1090,Female,Medium,625,28000,26000,5,1,South,Unemployed
C-1091,Male,Low,520,11000,10500,4,1,East,Self-Employed
C-1092,Female,High,815,69000,7000,0,0,West,Salaried
C-1093,Male,Medium,715,35000,10000,0,0,North,Salaried
C-1094,Female,Low,565,24000,22500,6,1,South,Self-Employed
C-1095,Male,High,765,53000,13000,1,0,East,Salaried
C-1096,Female,Medium,665,29000,10000,0,0,West,Salaried
C-1097,Male,Low,480,9500,9300,7,1,North,Unemployed
C-1098,Female,High,795,66000,7000,0,0,South,Self-Employed
C-1099,Male,Medium,700,41000,14000,0,0,East,Salaried
C-1100,Female,Low,615,16500,15000,3,1,West,Self-Employed
